id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,accommodates,bedrooms,beds,bathrooms,room_type_ord,amenity_count,minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_superhost,host_identity_verified_f,is_instant_bookable,host_response_rate_f,host_acceptance_rate_f,host_response_time_ord,has_license,has_wifi,has_kitchen,has_ac,has_gym,has_parking,has_pool,has_washer,has_dryer,has_elevator,has_doorman,has_pets_allowed,dist_subway_km,near_subway,subway_lines_500m,nearest_subway_cbd,nearest_subway_ada,dist_lirr_km,lirr_count_1mi,poi_count_500m,poi_count_1km,tourist_poi_500m,crime_count_500m,estimated_occupancy_l365d,estimated_revenue_l365d,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,prop_Entire home,prop_Hotel room,prop_Other,prop_Private room,prop_Shared room,price_numeric,log_price
50213868,40.80625,-73.94535,Harlem,Manhattan,2,1.0,1.0,1.0,3,37,3,348,32,8,0.77,4.72,4.75,4.91,4.91,4.94,4.78,4.69,1,1,0,1.0,0.83,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0.16768186295858398,1,2,0,0,6.220557436651328,0,247,791,145,1284,102,28050.0,False,False,True,False,False,True,False,False,False,False,275.0,5.62040086571715
50230523,40.81563,-73.94315,Harlem,Manhattan,4,0.0,2.0,1.0,3,29,4,324,79,18,1.49,4.56,4.65,4.52,4.91,4.85,4.53,4.49,0,0,0,1.0,1.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.2537408087402648,1,4,0,1,7.252968180778573,0,170,595,88,1833,230,39330.0,False,False,True,False,False,True,False,False,False,False,171.0,5.147494476813453
50439347,40.69906,-73.75493,St. Albans,Queens,4,2.0,2.0,1.0,3,43,4,104,86,13,1.64,4.84,4.83,4.88,4.97,4.98,4.65,4.76,1,1,0,1.0,0.98,1.0,1,1,1,0,0,1,0,0,1,0,0,0,2.865540986299584,0,0,0,1,1.2424216437564903,2,10,81,1,89,166,23406.0,False,False,False,True,False,True,False,False,False,False,141.0,4.955827057601261
50454030,40.67665,-73.95078,Crown Heights,Brooklyn,2,2.0,3.0,1.0,2,35,3,320,110,21,2.11,4.82,4.82,4.83,4.92,4.85,4.55,4.65,1,1,0,0.9,0.89,1.0,1,1,1,1,0,1,0,0,1,0,0,0,0.4222629057136426,1,2,0,0,0.2850698566163295,1,91,355,36,734,255,42840.0,False,True,False,False,False,False,False,False,True,False,168.0,5.1298987149230735
50231254,40.81581,-73.94122,Harlem,Manhattan,3,0.0,2.0,1.0,3,32,4,311,91,23,1.71,4.68,4.78,4.68,4.81,4.92,4.53,4.56,0,0,0,1.0,1.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.1798317768480112,1,2,0,1,7.333851486977139,0,167,499,86,1782,255,52020.0,False,False,True,False,False,True,False,False,False,False,204.0,5.3230099791384085
50480214,40.67316397256876,-73.9579749113999,Crown Heights,Brooklyn,4,1.0,2.0,1.0,2,58,1,274,190,41,3.62,4.97,4.96,4.97,4.99,4.98,4.92,4.85,1,1,0,1.0,1.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.18123694289250175,1,5,0,1,1.001955845011717,1,116,321,24,619,255,73695.0,False,True,False,False,False,False,False,False,True,False,289.0,5.66988092298052
50490000,40.59009,-73.92466,Gerritsen Beach,Brooklyn,2,1.0,3.0,1.0,2,59,1,175,138,25,2.75,4.97,4.94,4.91,4.98,4.91,4.84,4.82,1,1,0,1.0,0.95,2.0,1,1,1,1,0,1,0,0,1,0,0,0,2.5158013656457534,0,0,0,1,9.708946402750252,0,5,31,1,27,255,48450.0,False,True,False,False,False,False,False,False,True,False,190.0,5.25227342804663
50287920,40.70637,-73.9415,Williamsburg,Brooklyn,2,1.0,1.0,2.0,2,61,3,336,127,43,2.43,4.91,4.88,4.83,4.96,4.98,4.79,4.78,1,1,0,1.0,1.0,1.0,1,1,1,1,0,1,0,1,1,0,0,0,0.20619493046811585,1,1,0,0,3.1639983571673533,0,101,328,30,296,255,41565.0,False,True,False,False,False,False,False,False,True,False,163.0,5.099866427824199
50288808,40.71603,-73.93923,Williamsburg,Brooklyn,2,1.0,1.0,1.0,2,50,3,245,218,47,4.61,4.96,4.98,4.94,4.97,4.99,4.93,4.87,1,1,0,1.0,0.94,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.4379152669800796,1,1,0,0,2.9972790270364955,0,48,160,15,161,255,52275.0,False,True,False,False,False,False,False,False,True,False,205.0,5.327876168789581
50526392,40.7576380499852,-73.89803623325716,East Elmhurst,Queens,2,1.0,2.0,1.0,2,29,2,284,178,38,3.37,4.79,4.85,4.82,4.83,4.76,4.61,4.72,1,1,0,1.0,0.98,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0.8543832417488756,0,0,0,1,1.3788492007338569,1,7,90,3,57,255,22440.0,False,False,False,True,False,False,False,False,True,False,88.0,4.48863636973214
50338291,40.7562,-73.99831,Hell's Kitchen,Manhattan,2,1.0,1.0,2.0,2,12,1,261,30,5,0.57,3.93,4.47,3.87,4.57,4.23,4.83,3.97,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0.3052817683990972,1,1,1,1,0.7934425728930401,1,101,602,43,3894,64,13760.0,False,False,True,False,False,False,False,False,True,False,215.0,5.375278407684165
50357364,40.75638,-73.99824,Hell's Kitchen,Manhattan,2,1.0,1.0,2.0,2,14,1,268,10,3,0.2,3.1,3.2,3.6,3.6,3.6,3.6,3.4,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0.3140433656719676,1,1,1,1,0.8067304666015431,1,109,600,45,3912,38,8170.0,False,False,True,False,False,False,False,False,True,False,215.0,5.375278407684165
50357851,40.75456,-73.99804,Hell's Kitchen,Manhattan,2,1.0,1.0,2.0,2,12,1,268,6,2,0.11,3.17,3.5,3.0,3.83,3.5,4.33,3.17,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0.3575854507596502,1,4,1,1,0.6361185495966012,1,155,655,69,4284,26,5590.0,False,False,True,False,False,False,False,False,True,False,215.0,5.375278407684165
50359042,40.711133627699176,-73.9639882236273,Williamsburg,Brooklyn,2,1.0,2.0,1.0,2,26,3,333,100,30,2.59,4.95,4.95,4.97,4.94,4.97,4.96,4.81,1,1,0,1.0,0.95,1.0,1,1,0,1,0,1,0,0,1,0,0,0,0.6091329961029123,0,0,0,1,3.163489865834896,0,101,265,42,149,255,47685.0,False,True,False,False,False,False,False,False,True,False,187.0,5.236441962829949
50545664,40.63829,-73.90112,Canarsie,Brooklyn,8,4.0,4.0,2.0,3,42,3,314,146,32,2.77,4.9,4.92,4.88,4.95,4.97,4.78,4.78,1,1,0,1.0,0.97,1.0,1,1,1,1,0,1,0,0,1,0,0,0,0.9320716569649296,0,0,0,1,4.193489467815278,0,27,112,6,106,255,89250.0,False,True,False,False,False,True,False,False,False,False,350.0,5.860786223465865
50574468,40.71598,-73.94023,Williamsburg,Brooklyn,2,1.0,1.0,1.0,2,48,1,104,164,38,3.12,4.98,4.98,4.97,4.96,5.0,4.9,4.91,1,1,0,1.0,0.97,1.0,1,1,1,1,0,1,0,0,1,0,0,0,0.3585720278657068,1,1,0,0,2.9853969935225875,0,53,174,16,175,255,24225.0,False,True,False,False,False,False,False,False,True,False,95.0,4.564348191467836
50593578,40.75424,-73.99854,Chelsea,Manhattan,2,1.0,1.0,2.0,2,12,1,259,23,13,0.44,4.35,4.35,4.22,4.61,4.52,4.57,4.39,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0.33750820418008415,1,4,1,1,0.6404944966346654,1,122,645,50,4131,166,38014.0,False,False,True,False,False,False,False,False,True,False,229.0,5.438079308923196
50593873,40.7541,-73.99851,Chelsea,Manhattan,2,1.0,1.0,2.0,2,12,1,266,10,1,0.19,2.7,2.9,2.4,3.1,3.3,3.7,3.0,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0.3482526129305056,1,4,1,1,0.6281398726788437,1,125,649,51,4072,13,2795.0,False,False,True,False,False,False,False,False,True,False,215.0,5.375278407684165
50394733,40.69232221596738,-73.7852107156851,Jamaica,Queens,2,1.0,1.0,1.0,2,46,1,236,105,7,1.97,4.74,4.76,4.85,4.85,4.8,4.74,4.69,0,1,1,1.0,1.0,1.0,1,1,0,1,0,1,0,0,1,0,0,0,1.7291225832362669,0,0,0,1,1.6667135100804678,0,25,127,9,133,90,11160.0,False,False,False,True,False,False,False,False,True,False,124.0,4.8283137373023015
50634191,40.75956,-73.99645,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,12,1,175,154,75,3.97,4.55,4.59,4.56,4.76,4.53,4.86,4.45,0,1,1,0.67,1.0,1.0,1,1,0,1,0,0,0,0,1,1,0,0,0.6154287938864949,0,0,1,1,1.0679261760789964,1,133,582,62,889,255,97920.0,False,False,True,False,False,False,True,False,False,False,384.0,5.953243334287785
50634288,40.75862,-73.9947,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,12,1,167,314,12,6.79,4.03,4.19,4.22,4.16,4.0,4.69,4.13,0,1,1,0.67,1.0,1.0,1,1,0,1,0,0,0,0,1,1,0,0,0.4429050278828468,1,3,1,1,0.9337236047412614,1,183,658,100,2002,154,59598.0,False,False,True,False,False,False,True,False,False,False,387.0,5.961005339623274
50634330,40.76009,-73.99519,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,11,1,167,821,236,17.94,4.41,4.51,4.43,4.65,4.41,4.74,4.28,0,1,1,0.67,1.0,1.0,1,1,0,1,0,0,0,0,1,1,0,0,0.5538886202517687,0,0,1,1,1.1017353545961837,1,144,621,77,969,255,98685.0,False,False,True,False,False,False,True,False,False,False,387.0,5.961005339623274
50634369,40.75994,-73.99665,Hell's Kitchen,Manhattan,2,1.0,1.0,1.0,2,11,1,167,161,15,3.59,4.27,4.42,4.4,4.42,4.24,4.7,4.22,0,1,1,0.67,1.0,1.0,1,1,0,1,0,0,0,0,1,1,0,0,0.6323673323812048,0,0,1,1,1.1131941067685893,1,117,562,54,758,192,76608.0,False,False,True,False,False,False,True,False,False,False,399.0,5.991464547107982
50634986,40.83569,-73.94293,Washington Heights,Manhattan,6,2.0,4.0,1.0,3,49,1,72,128,33,2.6,4.93,4.92,4.91,4.97,4.98,4.73,4.85,1,0,0,1.0,0.88,1.0,1,1,1,1,0,1,0,1,1,0,0,0,0.2465992746666334,1,2,0,0,9.363502246172109,0,120,286,49,573,255,108120.0,False,False,True,False,False,True,False,False,False,False,424.0,6.052089168924417
