listing_id,mean_sentiment,median_sentiment,num_reviews,positive_ratio,negative_ratio,neutral_ratio,segment
1163671725578277797,0.387804380859299,0.37737373737373736,41,1.0,0.0,0.0,satisfactory
1163706553372489597,0.2841666666666666,0.2841666666666666,1,1.0,0.0,0.0,satisfactory
1163763415369886027,0.362438001166414,0.3333333333333333,320,0.978125,0.021875,0.0,satisfactory
1163765527242023651,0.3432082469267851,0.33722222222222226,107,0.9532710280373832,0.0,0.04672897196261682,satisfactory
1164402494958427969,-0.025714285714285707,-0.02571428571428571,3,0.0,1.0,0.0,dissatisfactory
1164424915333101357,0.5287108020184944,0.5058333333333334,13,1.0,0.0,0.0,satisfactory
1164426977543444217,0.4375,0.4375,22,1.0,0.0,0.0,satisfactory
1164429303690491159,0.5037962962962963,0.5037962962962963,4,1.0,0.0,0.0,satisfactory
1164441595020945889,0.7040108401084011,0.6,41,1.0,0.0,0.0,satisfactory
1164508379062773033,0.4032457243460765,0.41927083333333337,71,1.0,0.0,0.0,satisfactory
1164526551554310303,0.42207140373800356,0.41904761904761906,164,1.0,0.0,0.0,satisfactory
1164671590352488149,0.40878228007586487,0.42000000000000004,552,0.9311594202898551,0.018115942028985508,0.050724637681159424,satisfactory
1164725978874743894,0.3839035317167305,0.3937179487179487,240,0.9666666666666667,0.03333333333333333,0.0,satisfactory
1164830197529690298,0.44409829472329476,0.3960416666666666,74,1.0,0.0,0.0,satisfactory
1165058914827056544,0.3389760030864198,0.3474074074074075,30,1.0,0.0,0.0,satisfactory
1165148742023905837,0.1,0.1,8,1.0,0.0,0.0,satisfactory
1165908700741086605,0.23111411736411738,0.23111411736411738,22,1.0,0.0,0.0,satisfactory
1165965036051271935,0.02261706982101722,0.12212121212121212,36,0.6944444444444444,0.3055555555555556,0.0,moderate
1165973337523216360,0.35438596491228075,0.35438596491228075,1,1.0,0.0,0.0,satisfactory
1165997330892698548,0.5069468390804598,0.49000000000000005,29,1.0,0.0,0.0,satisfactory
1166030843706237712,0.3855785123966942,0.3855785123966942,11,1.0,0.0,0.0,satisfactory
1166041689726365134,0.2574392736892737,0.2418783068783069,55,0.8545454545454545,0.0,0.14545454545454545,moderate
1166051715881989335,0.5515555555555557,0.5515555555555557,11,1.0,0.0,0.0,satisfactory
1166084149211199170,0.6383753501400561,0.8,17,1.0,0.0,0.0,satisfactory
1166090512207969562,0.3792837324900249,0.37754901960784315,263,0.9581749049429658,0.04182509505703422,0.0,satisfactory
1166118086665626216,0.42040825396095055,0.40277777777777785,296,1.0,0.0,0.0,satisfactory
1166477260581870167,0.6422619047619048,0.4625000000000001,21,1.0,0.0,0.0,satisfactory
1166594130384064621,0.46666666666666656,0.4666666666666666,9,1.0,0.0,0.0,satisfactory
1166668321004872851,0.5567647058823529,0.43500000000000005,17,1.0,0.0,0.0,satisfactory
1166708562651517657,0.3888342989215079,0.325,480,0.98125,0.0,0.01875,satisfactory
1166742135280652647,0.43190185130526043,0.4305555555555556,44,1.0,0.0,0.0,satisfactory
1166910890725314826,0.3578571428571429,0.2755102040816327,10,1.0,0.0,0.0,satisfactory
1166985304842363938,0.2935275019098549,0.2935275019098549,22,1.0,0.0,0.0,satisfactory
1167010238148291696,0.3591717487305723,0.35049019607843135,39,1.0,0.0,0.0,satisfactory
1167214519855150680,0.625,0.625,20,1.0,0.0,0.0,satisfactory
1167230963185461637,0.4624305051560691,0.3155001139211665,37,1.0,0.0,0.0,satisfactory
1167315125357515033,0.3353333333333333,0.3353333333333333,2,1.0,0.0,0.0,satisfactory
1167325491094087654,0.5076388888888889,0.5125,18,1.0,0.0,0.0,satisfactory
1167565745103410149,0.6,0.6,1,1.0,0.0,0.0,satisfactory
1167603790366698489,0.3740075565968423,0.41055555555555556,70,0.9142857142857143,0.05714285714285714,0.02857142857142857,satisfactory
1167693321211855020,0.6533333333333333,0.8,5,1.0,0.0,0.0,satisfactory
1167975742517801891,0.36776312387040694,0.3691666666666667,442,0.8981900452488688,0.08597285067873303,0.01583710407239819,moderate
1167995766552835416,0.37587791117956937,0.39319930069930076,518,0.9787644787644788,0.0,0.021235521235521235,satisfactory
1168007906284515694,0.43357566591849706,0.4030555555555556,550,1.0,0.0,0.0,satisfactory
1168125280377121887,0.3318787288776814,0.32395833333333335,179,0.8491620111731844,0.0111731843575419,0.13966480446927373,moderate
1168168742111738570,0.27033333333333337,0.27033333333333337,11,1.0,0.0,0.0,satisfactory
1168168869806739414,0.47525,0.65,55,0.8,0.2,0.0,moderate
1168169359485094237,0.32195447738843963,0.3514285714285715,265,0.8566037735849057,0.13962264150943396,0.0037735849056603774,moderate
1168300598293521788,0.34490953008344316,0.37088888888888893,14,1.0,0.0,0.0,satisfactory
1168612036616137137,0.40844155844155844,0.3,22,1.0,0.0,0.0,satisfactory
1168686341536062275,0.5448238629031312,0.5057539682539683,41,1.0,0.0,0.0,satisfactory
1168703023053244573,0.4388117573915446,0.44296969696969696,47,1.0,0.0,0.0,satisfactory
1168706691983071846,0.8882814886263162,1.0,13,1.0,0.0,0.0,satisfactory
1168752743571994035,0.4528947344322345,0.4166666666666667,50,1.0,0.0,0.0,satisfactory
1168812476566201714,0.4349491289708681,0.3803030303030303,23,1.0,0.0,0.0,satisfactory
1168855992348242608,0.33109307359307355,0.33109307359307355,3,1.0,0.0,0.0,satisfactory
1168899697914029586,0.41818181818181815,0.41818181818181815,11,1.0,0.0,0.0,satisfactory
1168902661787805861,-0.03662698412698415,-0.14722222222222225,17,0.35294117647058826,0.6470588235294118,0.0,dissatisfactory
1169101124186546477,0.3842892277624636,0.392063492063492,346,0.9595375722543352,0.017341040462427744,0.023121387283236993,satisfactory
1169137558497211534,0.36661375661375656,0.42111111111111105,21,1.0,0.0,0.0,satisfactory
1169623880613455919,0.5044444444444445,0.5044444444444445,22,1.0,0.0,0.0,satisfactory
1169664704428291999,0.3827777777777777,0.3827777777777777,10,1.0,0.0,0.0,satisfactory
1169852638825824951,0.38632800039872406,0.4533333333333333,8,0.875,0.125,0.0,moderate
1169858168835395933,0.465,0.465,16,1.0,0.0,0.0,satisfactory
1170230963118362705,0.21666666666666667,0.21666666666666667,1,1.0,0.0,0.0,satisfactory
1170382232743463314,0.5100000000000001,0.5100000000000001,11,1.0,0.0,0.0,satisfactory
1170382464922375519,0.29333333333333333,0.29333333333333333,11,1.0,0.0,0.0,satisfactory
1170428810365985606,0.32980234997087254,0.324375,521,0.7735124760076776,0.09788867562380038,0.12859884836852206,moderate
1170435457640013444,0.3875989813974971,0.36837535014005607,283,0.9611307420494699,0.038869257950530034,0.0,satisfactory
1170435534385420529,0.4137328585766086,0.4058333333333333,264,0.946969696969697,0.05303030303030303,0.0,satisfactory
1170440093103733601,0.3494462603378869,0.36904761904761907,781,0.8860435339308579,0.040973111395646605,0.07298335467349552,moderate
